order_id,customer_id,customer_name,customer_email,product_id,product_name,category,brand,price,quantity,total_amount,discount_percent,order_date,shipping_address,city,state,country,payment_method,order_status,customer_age
ORD-1701,CUST-0199,Kimberly Lee,kimberly.lee@email.com,PROD-9354,LEGO Set,Toys,Hasbro,23.09,1,23.09,0.0,2024-12-22,6874 Elm St,Philadelphia,PA,Canada,Bank Transfer,Shipped,44
ORD-1524,CUST-0139,Angela Johnson,angela.johnson@email.com,PROD-8070,Dining Table,Home & Garden,Cuisinart,251.86,2,503.72,,2023-07-18,6315 Elm St,New York,NY,Canada,Credit Card,Processing,42
ORD-1810,CUST-0163,Jane Smith,jane.smith@email.com,PROD-2428,Data Science Handbook,Books,O'Reilly,12.46,3,37.38,15.0,2025-02-11,8680 First St,Indianapolis,IN,USA,Apple Pay,Completed,71
ORD-1553,CUST-0201,Robert Clark,robert.clark@email.com,PROD-1384,Machine Learning,Books,Wiley,31.15,4,124.6,10.0,2025-03-24,1624 Oak Ave,San Francisco,CA,Australia,Debit Card,Processing,36
ORD-1754,CUST-0051,William Ramirez,william.ramirez@email.com,PROD-2756,Board Game,Toys,,31.71,3,95.13,5.0,2025-04-06,8782 Oak Ave,Seattle,WA,Germany,Debit Card,Processing,
ORD-1424,CUST-0047,Helen Thompson,helen.thompson@email.com,PROD-2060,Dress,Clothing,Gap,134.14,4,536.56,25.0,2024-06-16,3762 Park Rd,Seattle,WA,Australia,Credit Card,Pending,
ORD-1381,CUST-0013,Angela Davis,angela.davis@email.com,PROD-6395,Coffee Maker,Home & Garden,Cuisinart,172.63,1,172.63,,2024-08-07,5577 Park Rd,New York,NY,Germany,PayPal,Completed,39
ORD-1962,CUST-0270,Sarah Lee,sarah.lee@email.com,PROD-1327,Shampoo,Beauty,L'Oreal,16.1,4,64.4,0.0,2025-04-26,,Philadelphia,PA,USA,Bank Transfer,Shipped,52
ORD-2151,CUST-0012,Anna Jones,anna.jones@email.com,PROD-4897,Perfume,Beauty,,92.3,1,92.3,25.0,2025-04-05,9065 Second Ave,New York,NY,UK,Credit Card,Shipped,59
ORD-1353,CUST-0086,Andrew Jones,andrew.jones@email.com,PROD-8365,Kitchen Knife Set,Home & Garden,,302.98,2,605.96,15.0,2023-07-14,7174 First St,Austin,TX,USA,Debit Card,Processing,53
ORD-1299,CUST-0007,Donald White,donald.white@email.com,PROD-2487,Jeans,Clothing,Zara,17.95,3,53.85,15.0,2024-12-27,2371 Elm St,New York,NY,Australia,Debit Card,Shipped,41
ORD-2032,CUST-0229,Kimberly Clark,kimberly.clark@email.com,PROD-5523,Running Shoes,Sports,Nike,29.08,1,29.08,15.0,2023-09-19,8232 Elm St,San Diego,CA,USA,Credit Card,Processing,66
ORD-1425,CUST-0046,James White,james.white@email.com,PROD-3088,Hoodie,Clothing,Nike,172.87,4,691.48,0.0,2024-04-05,6459 First St,Los Angeles,CA,Germany,Bank Transfer,Pending,68
ORD-1989,CUST-0232,Andrew Williams,andrew.williams@email.com,PROD-5304,Business Strategy,Books,No Starch Press,74.78,1,74.78,5.0,2024-07-31,6509 Second Ave,San Francisco,CA,Canada,Credit Card,Completed,31
ORD-1332,CUST-0043,James Martin,james.martin@email.com,PROD-2480,Dell Laptop,Electronics,Dell,823.95,2,1647.9,20.0,2024-10-16,9609 Second Ave,Houston,TX,Germany,Bank Transfer,Cancelled,33
ORD-1359,CUST-0126,Paul Sanchez,paul.sanchez@email.com,PROD-7102,Business Strategy,Books,Pearson,60.06,4,240.24,25.0,2024-01-29,3838 Oak Ave,Phoenix,AZ,Germany,Debit Card,Cancelled,75
ORD-1535,CUST-0013,James Martin,james.martin@email.com,PROD-5818,Web Development,Books,McGraw-Hill,53.53,2,107.06,10.0,2023-10-23,5229 Second Ave,New York,NY,USA,Apple Pay,Processing,31
ORD-1108,CUST-0025,Steven Smith,steven.smith@email.com,PROD-1150,Action Figure,Toys,LEGO,29.68,4,118.72,20.0,2025-03-06,,San Francisco,CA,Australia,Apple Pay,Processing,19
ORD-1372,CUST-0212,Andrew Hernandez,andrew.hernandez@email.com,PROD-4875,LEGO Set,Toys,LEGO,54.37,5,271.85,0.0,2024-02-22,6769 Main St,Los Angeles,CA,UK,Debit Card,Completed,32
ORD-1606,CUST-0294,Kimberly Harris,kimberly.harris@email.com,PROD-3302,Basketball,Sports,Wilson,236.19,1,236.19,25.0,2025-05-20,7404 Elm St,Austin,TX,UK,PayPal,Shipped,32
ORD-1903,CUST-0245,Emily Smith,emily.smith@email.com,PROD-3089,Yoga Mat,Sports,Under Armour,195.08,2,390.16,,2023-10-29,4666 First St,Los Angeles,CA,UK,Bank Transfer,Shipped,65
ORD-1079,CUST-0103,Helen Jones,helen.jones@email.com,PROD-7045,Coffee Maker,Home & Garden,Dyson,247.02,5,1235.1,,2023-08-19,7942 Second Ave,Chicago,IL,UK,Debit Card,Cancelled,22
ORD-2140,CUST-0120,Paul Hernandez,paul.hernandez@email.com,PROD-5017,LEGO Set,Toys,LEGO,46.74,1,46.74,10.0,2024-02-21,6837 Main St,Phoenix,AZ,Canada,PayPal,Completed,39
ORD-1618,CUST-0074,Ashley Perez,ashley.perez@email.com,PROD-2725,iPad Air,Electronics,Sony,537.07,3,1611.21,25.0,2024-03-26,8618 Second Ave,Austin,TX,Australia,Apple Pay,Pending,26
ORD-1077,CUST-0079,Lisa Anderson,lisa.anderson@email.com,PROD-9675,Web Development,Books,O'Reilly,35.69,3,107.07,5.0,2023-09-16,6440 Second Ave,New York,NY,Canada,Credit Card,Pending,63
ORD-1773,CUST-0189,James Moore,james.moore@email.com,PROD-8698,Data Science Handbook,Books,O'Reilly,36.41,4,145.64,10.0,2024-10-29,468 Oak Ave,Indianapolis,IN,Germany,Credit Card,Pending,62
ORD-1045,CUST-0295,Jessica Thompson,jessica.thompson@email.com,PROD-1804,Puzzle,Toys,,91.96,4,367.84,10.0,2024-01-13,4206 Elm St,Jacksonville,FL,Canada,PayPal,Completed,59
ORD-1644,CUST-0051,Anna Taylor,anna.taylor@email.com,PROD-9716,Lipstick,Beauty,Neutrogena,82.08,5,410.4,10.0,2024-04-15,4899 Elm St,Phoenix,AZ,Australia,Debit Card,Cancelled,23
ORD-1970,CUST-0156,Michael Harris,michael.harris@email.com,PROD-1064,Tennis Racket,Sports,,174.91,5,874.55,25.0,2025-04-18,9454 Park Rd,San Francisco,CA,UK,Debit Card,Pending,
ORD-1114,CUST-0158,Daniel Lopez,daniel.lopez@email.com,PROD-8354,Samsung Galaxy S23,Electronics,Apple,1136.12,5,5680.6,0.0,2023-08-22,9898 Park Rd,Jacksonville,FL,Germany,Debit Card,Completed,42
ORD-1436,CUST-0262,Jennifer Garcia,jennifer.garcia@email.com,PROD-1425,Sneakers,Clothing,Gap,193.34,2,386.68,,2023-09-27,6764 Main St,Seattle,WA,USA,Bank Transfer,Completed,39
ORD-1266,CUST-0023,Lisa Ramirez,lisa.ramirez@email.com,PROD-2690,MacBook Pro,Electronics,Sony,1065.13,3,3195.39,,2024-04-06,4795 Park Rd,San Antonio,TX,UK,Apple Pay,Pending,60
ORD-1574,CUST-0076,Robert Lewis,robert.lewis@email.com,PROD-4332,Python Programming,Books,Pearson,40.56,2,81.12,20.0,2024-06-09,1736 First St,New York,NY,Australia,Apple Pay,Cancelled,48
ORD-2081,CUST-0226,Lisa Miller,,PROD-3223,Kitchen Knife Set,Home & Garden,IKEA,111.94,2,223.88,15.0,2024-12-31,8486 First St,Dallas,TX,USA,Apple Pay,Processing,31
ORD-2085,CUST-0235,Angela Robinson,angela.robinson@email.com,PROD-3812,Tennis Racket,Sports,Wilson,133.46,3,400.38,5.0,2025-05-04,1527 Elm St,Seattle,WA,Canada,PayPal,Pending,58
ORD-2070,CUST-0119,Jennifer Williams,,PROD-7075,LEGO Set,Toys,Playmobil,78.67,5,393.35,5.0,2023-11-03,9797 Oak Ave,San Jose,CA,Australia,Debit Card,Completed,44
ORD-1479,CUST-0098,Lisa Jackson,lisa.jackson@email.com,PROD-6030,Machine Learning,Books,O'Reilly,45.15,1,45.15,25.0,2024-08-31,8987 First St,Columbus,OH,Australia,Apple Pay,Pending,29
ORD-1241,CUST-0223,Melissa Robinson,melissa.robinson@email.com,PROD-7267,Action Figure,Toys,Playmobil,14.87,5,74.35,,2024-11-25,3717 Oak Ave,Phoenix,AZ,UK,Credit Card,Cancelled,66
ORD-1193,CUST-0192,Matthew Sanchez,matthew.sanchez@email.com,PROD-4155,Coffee Maker,Home & Garden,Dyson,177.15,1,177.15,5.0,2024-11-23,3553 Elm St,Seattle,WA,USA,PayPal,Cancelled,31
ORD-1421,CUST-0128,Amanda Anderson,amanda.anderson@email.com,PROD-4080,Perfume,Beauty,Neutrogena,8.44,3,25.32,,2024-05-25,3926 Second Ave,Los Angeles,CA,UK,Debit Card,Cancelled,68
ORD-1790,CUST-0029,Sarah Clark,sarah.clark@email.com,PROD-4168,Dining Table,Home & Garden,,411.8,3,1235.4,0.0,2023-07-11,4675 Main St,Chicago,IL,Australia,Bank Transfer,Processing,
ORD-1887,CUST-0156,Emily Hernandez,emily.hernandez@email.com,PROD-9851,Bed Sheets,Home & Garden,KitchenAid,47.53,3,142.59,,2024-08-19,7456 Second Ave,Dallas,TX,USA,Bank Transfer,Pending,
ORD-1298,CUST-0127,Ashley Hernandez,ashley.hernandez@email.com,PROD-1084,Dress,Clothing,Adidas,92.29,1,92.29,,2024-09-15,6560 First St,Indianapolis,IN,USA,Credit Card,Cancelled,23
ORD-1865,CUST-0199,Ashley Clark,,PROD-4761,Data Science Handbook,Books,O'Reilly,32.75,5,163.75,5.0,2024-02-20,5106 Main St,San Diego,CA,UK,Credit Card,Completed,63
ORD-1592,CUST-0064,Sarah Jones,sarah.jones@email.com,PROD-7005,Toy Car,Toys,LEGO,47.16,3,141.48,,2024-01-26,5507 Elm St,San Francisco,CA,Canada,Credit Card,Cancelled,49
ORD-1082,CUST-0296,William Lee,william.lee@email.com,PROD-9160,Tennis Racket,Sports,Under Armour,268.92,5,1344.6,10.0,2024-09-28,1295 Elm St,San Diego,CA,Australia,Credit Card,Shipped,48
ORD-2166,CUST-0027,Sarah Moore,sarah.moore@email.com,PROD-6845,Vacuum Cleaner,Home & Garden,KitchenAid,374.16,4,1496.64,25.0,2024-04-29,3093 First St,Jacksonville,FL,Germany,Debit Card,Cancelled,34
ORD-1746,CUST-0278,Brenda Ramirez,brenda.ramirez@email.com,PROD-9947,Sunscreen,Beauty,Neutrogena,50.2,5,251.0,0.0,2024-07-09,6984 Main St,Los Angeles,CA,UK,Bank Transfer,Pending,26
ORD-1050,CUST-0098,Sarah Ramirez,sarah.ramirez@email.com,PROD-1350,iPad Air,Electronics,Samsung,148.63,3,445.89,5.0,2024-12-21,9180 Oak Ave,San Antonio,TX,USA,Apple Pay,Shipped,32
ORD-1351,CUST-0133,Anna Perez,anna.perez@email.com,PROD-1218,Running Shoes,Sports,Nike,68.09,4,272.36,15.0,2025-03-26,6010 Elm St,San Francisco,CA,UK,Debit Card,Pending,
ORD-1679,CUST-0033,Brenda Williams,brenda.williams@email.com,PROD-4851,Sony Headphones,Electronics,Samsung,229.13,3,687.39,10.0,2023-08-14,8168 First St,Columbus,OH,UK,Apple Pay,Completed,59
ORD-1411,CUST-0105,Ashley Taylor,ashley.taylor@email.com,PROD-4237,Perfume,Beauty,MAC,42.78,2,85.56,10.0,2024-03-10,7983 Main St,Charlotte,NC,Canada,Bank Transfer,Cancelled,48
ORD-1904,CUST-0057,Michael Wilson,michael.wilson@email.com,PROD-1168,Business Strategy,Books,No Starch Press,57.12,1,57.12,,2025-03-02,2545 Oak Ave,San Antonio,TX,USA,PayPal,Shipped,49
ORD-1840,CUST-0147,Jane Thomas,jane.thomas@email.com,PROD-6281,Data Science Handbook,Books,Pearson,40.58,2,81.16,20.0,2025-04-07,1966 Second Ave,San Jose,CA,Germany,Debit Card,Completed,
ORD-1932,CUST-0297,Mark Hernandez,mark.hernandez@email.com,PROD-2135,Samsung Galaxy S23,Electronics,Apple,736.35,1,736.35,15.0,2024-06-13,7572 Park Rd,Dallas,TX,UK,Debit Card,Completed,18
ORD-1988,CUST-0252,James Lee,james.lee@email.com,PROD-2822,Business Strategy,Books,Pearson,68.98,1,68.98,0.0,2024-08-16,1312 Oak Ave,Charlotte,NC,Germany,Bank Transfer,Processing,58
ORD-1363,CUST-0156,Angela Wilson,angela.wilson@email.com,PROD-5256,iPad Air,Electronics,Apple,1272.63,3,3817.89,,2025-03-19,185 First St,Houston,TX,Australia,Bank Transfer,Shipped,55
ORD-1345,CUST-0256,Lisa Brown,lisa.brown@email.com,PROD-2999,MacBook Pro,Electronics,HP,818.63,5,4093.15,0.0,2024-04-18,7961 First St,Phoenix,AZ,USA,Bank Transfer,Processing,39
ORD-1071,CUST-0217,Sarah Harris,sarah.harris@email.com,PROD-8490,Python Programming,Books,O'Reilly,14.4,4,57.6,0.0,2025-02-28,2452 Park Rd,Indianapolis,IN,Germany,Debit Card,Completed,33
ORD-1910,CUST-0211,Lisa Jones,lisa.jones@email.com,PROD-5368,Lipstick,Beauty,Neutrogena,103.64,1,103.64,20.0,2025-03-04,9834 Elm St,Los Angeles,CA,Germany,Apple Pay,Completed,44
ORD-1049,CUST-0295,Christopher Thomas,,PROD-7866,Machine Learning,Books,Wiley,47.68,5,238.4,5.0,2024-10-03,575 First St,San Diego,CA,UK,Bank Transfer,Cancelled,71
ORD-1102,CUST-0029,David Taylor,david.taylor@email.com,PROD-6254,Shorts,Clothing,Uniqlo,58.83,2,117.66,20.0,2024-01-04,9221 Second Ave,Columbus,OH,UK,PayPal,Cancelled,21
ORD-1707,CUST-0037,William Brown,william.brown@email.com,PROD-4096,Toy Car,Toys,,83.08,3,249.24,15.0,2024-12-06,3363 Park Rd,Dallas,TX,Germany,Credit Card,Cancelled,49
ORD-1059,CUST-0131,Jessica Hernandez,jessica.hernandez@email.com,PROD-9726,Kitchen Knife Set,Home & Garden,Cuisinart,359.24,5,1796.2,25.0,2024-05-19,793 First St,Chicago,IL,Australia,Credit Card,Cancelled,73
ORD-1645,CUST-0252,Sarah Hernandez,sarah.hernandez@email.com,PROD-5706,Tennis Racket,Sports,Wilson,235.84,1,235.84,0.0,2023-12-01,9459 Second Ave,Chicago,IL,UK,PayPal,Pending,52
ORD-2122,CUST-0164,Donald Robinson,donald.robinson@email.com,PROD-2310,MacBook Pro,Electronics,HP,1529.02,5,7645.1,20.0,2024-07-03,6729 Second Ave,Columbus,OH,UK,PayPal,Cancelled,74
ORD-2106,CUST-0123,Lisa Garcia,lisa.garcia@email.com,PROD-7284,Dumbbell Set,Sports,Nike,73.92,3,221.76,,2023-08-06,5741 Park Rd,Seattle,WA,UK,Apple Pay,Completed,69
ORD-1362,CUST-0208,Steven Miller,steven.miller@email.com,PROD-3065,iPhone 14,Electronics,Logitech,1064.92,5,5324.6,0.0,2024-10-27,2721 Main St,Seattle,WA,UK,Credit Card,Processing,33
ORD-2165,CUST-0232,Jennifer Williams,jennifer.williams@email.com,PROD-2971,Lipstick,Beauty,MAC,46.96,1,46.96,5.0,2024-01-29,6579 Park Rd,Jacksonville,FL,USA,Debit Card,Pending,69
ORD-1219,CUST-0293,David Jackson,david.jackson@email.com,PROD-8082,LEGO Set,Toys,Mattel,87.07,2,174.14,,2023-10-23,8285 Oak Ave,San Francisco,CA,USA,Apple Pay,Processing,68
ORD-1297,CUST-0235,Melissa Garcia,melissa.garcia@email.com,PROD-3785,Sneakers,Clothing,Levi's,121.95,5,609.75,0.0,2024-07-17,3646 Second Ave,Indianapolis,IN,Australia,Debit Card,Cancelled,64
ORD-1965,CUST-0059,Andrew Lee,andrew.lee@email.com,PROD-2717,Puzzle,Toys,Hasbro,32.3,5,161.5,0.0,2023-05-23,8387 Oak Ave,Chicago,IL,Canada,PayPal,Shipped,27
ORD-1482,CUST-0136,Jessica Clark,jessica.clark@email.com,PROD-7793,Vacuum Cleaner,Home & Garden,IKEA,40.52,1,40.52,10.0,2024-11-04,9474 First St,Austin,TX,UK,PayPal,Processing,30
ORD-1232,CUST-0163,Kimberly Sanchez,kimberly.sanchez@email.com,PROD-7190,Web Development,Books,,35.07,2,70.14,0.0,2024-09-30,8129 Oak Ave,Charlotte,NC,Germany,Apple Pay,Shipped,38
ORD-1765,CUST-0165,Daniel Garcia,daniel.garcia@email.com,PROD-1189,Board Game,Toys,,80.2,1,80.2,25.0,2023-06-23,9698 Main St,Chicago,IL,UK,Credit Card,Shipped,69
ORD-1948,CUST-0212,Brenda Clark,brenda.clark@email.com,PROD-8804,Tennis Racket,Sports,Nike,199.81,4,799.24,10.0,2024-07-19,9942 Oak Ave,Houston,TX,Germany,Bank Transfer,Completed,58
ORD-1902,CUST-0285,Matthew Johnson,matthew.johnson@email.com,PROD-4539,Board Game,Toys,Hasbro,16.05,4,64.2,5.0,2024-10-24,4623 Park Rd,San Francisco,CA,Canada,Bank Transfer,Completed,50
ORD-1052,CUST-0033,Michelle Anderson,michelle.anderson@email.com,PROD-4630,Basketball,Sports,Nike,284.72,1,284.72,25.0,2024-11-06,610 Main St,San Jose,CA,Australia,Debit Card,Cancelled,24
ORD-1582,CUST-0217,Christopher Smith,christopher.smith@email.com,PROD-8102,Lipstick,Beauty,L'Oreal,145.05,2,290.1,10.0,2025-02-11,4093 Elm St,Indianapolis,IN,Germany,Credit Card,Pending,31
ORD-2027,CUST-0082,Anthony Johnson,anthony.johnson@email.com,PROD-2784,Python Programming,Books,O'Reilly,66.44,3,199.32,15.0,2024-03-26,4554 Oak Ave,Phoenix,AZ,Canada,Bank Transfer,Completed,44
ORD-1554,CUST-0274,Matthew Davis,matthew.davis@email.com,PROD-2775,Kitchen Knife Set,Home & Garden,Dyson,239.83,5,1199.15,15.0,2024-01-15,1885 Elm St,Charlotte,NC,UK,Bank Transfer,Pending,58
ORD-1486,CUST-0093,Michael Williams,michael.williams@email.com,PROD-1360,Data Science Handbook,Books,Wiley,38.96,4,155.84,0.0,2023-12-24,7487 Oak Ave,Columbus,OH,Australia,PayPal,Pending,
ORD-2167,CUST-0153,Jennifer Johnson,,PROD-3932,Toy Car,Toys,,76.87,3,230.61,25.0,2023-12-22,4291 Second Ave,Dallas,TX,UK,Debit Card,Cancelled,52
ORD-1110,CUST-0042,Mark Ramirez,mark.ramirez@email.com,PROD-8799,iPhone 14,Electronics,Sony,159.42,1,159.42,0.0,2024-10-15,1662 Second Ave,Columbus,OH,UK,Credit Card,Shipped,73
ORD-1619,CUST-0192,Lisa Jones,lisa.jones@email.com,PROD-4243,LEGO Set,Toys,Fisher-Price,98.16,1,98.16,,2023-06-26,291 Second Ave,San Diego,CA,Canada,Debit Card,Cancelled,30
ORD-1124,CUST-0192,Donald Jones,donald.jones@email.com,PROD-7932,Dining Table,Home & Garden,Cuisinart,113.23,5,566.15,25.0,2023-11-16,2398 Oak Ave,Seattle,WA,Canada,Bank Transfer,Cancelled,73
ORD-1055,CUST-0288,Kimberly Hernandez,kimberly.hernandez@email.com,PROD-1843,Bed Sheets,Home & Garden,KitchenAid,484.99,5,2424.95,0.0,2025-01-03,8000 Oak Ave,Indianapolis,IN,Canada,Credit Card,Pending,41
ORD-1918,CUST-0013,Donald Taylor,donald.taylor@email.com,PROD-8583,Data Science Handbook,Books,Pearson,41.71,5,208.55,25.0,2024-04-18,155 Main St,Columbus,OH,Canada,Bank Transfer,Completed,20
ORD-1711,CUST-0229,Robert Davis,robert.davis@email.com,PROD-3464,Dell Laptop,Electronics,HP,1491.37,4,5965.48,15.0,2023-06-15,8153 First St,Seattle,WA,UK,Apple Pay,Pending,49
ORD-1129,CUST-0213,Christopher Anderson,christopher.anderson@email.com,PROD-5559,LEGO Set,Toys,Fisher-Price,72.52,3,217.56,15.0,2024-04-22,7611 Elm St,New York,NY,USA,Bank Transfer,Completed,43
ORD-1057,CUST-0016,Michael White,michael.white@email.com,PROD-7063,Kitchen Knife Set,Home & Garden,KitchenAid,173.03,3,519.09,20.0,2025-01-22,915 Elm St,Chicago,IL,USA,Credit Card,Pending,45
ORD-1087,CUST-0266,Daniel Jones,daniel.jones@email.com,PROD-6219,Yoga Mat,Sports,Wilson,65.5,5,327.5,10.0,2025-01-19,8821 First St,Austin,TX,Germany,Apple Pay,Pending,19
ORD-1716,CUST-0040,Michael Harris,michael.harris@email.com,PROD-8579,Action Figure,Toys,Playmobil,59.81,3,179.43,5.0,2024-11-19,5432 Oak Ave,Philadelphia,PA,Canada,Bank Transfer,Processing,50
ORD-1927,CUST-0037,Ashley Harris,ashley.harris@email.com,PROD-7543,Coffee Maker,Home & Garden,West Elm,133.89,4,535.56,15.0,2023-07-26,837 Park Rd,Austin,TX,UK,Bank Transfer,Pending,69
ORD-1276,CUST-0197,Amanda Davis,amanda.davis@email.com,PROD-4879,Running Shoes,Sports,Under Armour,219.4,3,658.2,20.0,2025-01-02,9408 First St,Jacksonville,FL,USA,Bank Transfer,Completed,62
ORD-2183,CUST-0101,Anthony Harris,anthony.harris@email.com,PROD-5555,Puzzle,Toys,Fisher-Price,85.45,5,427.25,25.0,2023-11-07,6743 Oak Ave,Fort Worth,TX,UK,PayPal,Processing,26
ORD-1448,CUST-0157,Donald Lee,donald.lee@email.com,PROD-9354,Sneakers,Clothing,H&M,94.01,1,94.01,10.0,2024-05-29,4146 Park Rd,Dallas,TX,UK,Credit Card,Shipped,
ORD-1171,CUST-0030,John Anderson,john.anderson@email.com,PROD-9022,Action Figure,Toys,Playmobil,80.67,1,80.67,,2024-08-09,7921 First St,Columbus,OH,Australia,Credit Card,Completed,64
ORD-1882,CUST-0180,Kimberly Lee,kimberly.lee@email.com,PROD-1017,iPhone 14,Electronics,Apple,1240.32,4,4961.28,0.0,2025-03-25,1424 Elm St,Chicago,IL,UK,Credit Card,Pending,70
ORD-1911,CUST-0123,Angela Martinez,angela.martinez@email.com,PROD-7231,Face Cream,Beauty,Neutrogena,45.44,2,90.88,5.0,2023-10-07,3158 Park Rd,San Jose,CA,Australia,Credit Card,Pending,32
ORD-2134,CUST-0224,Angela Thompson,angela.thompson@email.com,PROD-9701,Jeans,Clothing,Adidas,145.09,3,435.27,10.0,2023-11-15,7654 Elm St,Philadelphia,PA,UK,Apple Pay,Cancelled,
ORD-1322,CUST-0063,William Thomas,william.thomas@email.com,PROD-1866,Shampoo,Beauty,L'Oreal,125.9,4,503.6,5.0,2024-06-17,1678 Main St,Austin,TX,Canada,Apple Pay,Cancelled,30
ORD-1561,CUST-0197,James Jackson,james.jackson@email.com,PROD-8757,Basketball,Sports,Wilson,78.61,1,78.61,5.0,2023-08-24,104 Park Rd,Phoenix,AZ,Canada,Credit Card,Completed,69
ORD-1433,CUST-0229,Helen Hernandez,helen.hernandez@email.com,PROD-2439,Dress,Clothing,Adidas,119.06,1,119.06,,2023-09-27,9019 Oak Ave,Indianapolis,IN,UK,Debit Card,Completed,20
ORD-1429,CUST-0108,Robert Sanchez,robert.sanchez@email.com,PROD-2671,Face Cream,Beauty,MAC,104.32,2,208.64,15.0,2025-04-17,7863 Oak Ave,Philadelphia,PA,USA,Credit Card,Completed,59
ORD-1637,CUST-0088,John Moore,john.moore@email.com,PROD-3423,Face Cream,Beauty,MAC,17.06,3,51.18,,2024-02-29,8141 First St,Dallas,TX,USA,PayPal,Cancelled,46
ORD-1981,CUST-0044,Daniel Williams,daniel.williams@email.com,PROD-6952,Sony Headphones,Electronics,Asus,651.6,1,651.6,15.0,2024-04-01,6098 Elm St,Dallas,TX,Australia,PayPal,Pending,37
ORD-1893,CUST-0179,David Johnson,david.johnson@email.com,PROD-5657,Coffee Maker,Home & Garden,West Elm,55.59,5,277.95,20.0,2023-08-27,2955 Second Ave,San Diego,CA,UK,Bank Transfer,Pending,33
ORD-1650,CUST-0104,Michael Moore,michael.moore@email.com,PROD-8684,Jeans,Clothing,Levi's,103.58,1,103.58,15.0,2023-11-27,6176 First St,Chicago,IL,USA,PayPal,Cancelled,20
ORD-2132,CUST-0143,Paul Martin,paul.martin@email.com,PROD-6161,Business Strategy,Books,No Starch Press,66.97,1,66.97,20.0,2025-05-11,7251 Park Rd,San Antonio,TX,Canada,PayPal,Shipped,32
ORD-2024,CUST-0136,Kimberly Thompson,kimberly.thompson@email.com,PROD-4677,Kitchen Knife Set,Home & Garden,KitchenAid,478.97,3,1436.91,25.0,2023-07-09,7305 First St,San Jose,CA,Canada,PayPal,Pending,19
ORD-1414,CUST-0020,Brenda Brown,brenda.brown@email.com,PROD-5183,Yoga Mat,Sports,Adidas,235.96,3,707.88,15.0,2025-03-03,7047 Elm St,Jacksonville,FL,USA,PayPal,Shipped,70
